gen,rec,prof,gt_name,fourier,config_id,pth_views,sig_z,nb_views,snr,save_fold,nb_epochs,x,timeout,nb_hps,nb_kept,nb_children,nb_dir,nb_in_plane,scale_factors
True,True,False,"recepteurs_AMPA",False,,,1,10,1000,,1000,100,"1:00:00",1,,,,,
True,True,False,"recepteurs_AMPA",True,,,1,10,1000,,1000,100,"1:00:00",1,,,,,
